Entry,Exit,A,AB,B,BC,C,CD,D,DE,E,Days,Inverted,PerfMean,PerfStd,EntryLoad,ExitLoad,EntryDemand,ExitDemand,Distance
2023-09-27,2024-02-19,0,1,0,0,0,0,0,0,0,145,1,119.89285714285714,100.92866621166311,1,0,2,0,9.7
2023-10-09,2023-10-09,0,2,0,0,0,0,0,2,0,0,1,0.0,0.0,2,2,2,2,15.06
2023-10-09,2023-10-11,0,0,0,0,0,0,2,0,0,2,1,2.0,0.0,2,2,2,2,0.0
2023-10-09,2023-10-14,0,0,2,0,0,0,0,0,0,5,0,5.0,0.0,2,2,2,2,0.0
2023-10-11,2023-10-21,0,0,0,0,0,2,0,0,0,10,1,10.5,1.0606601717798212,2,2,2,2,6698.14
2023-10-14,2023-10-14,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,2,2,2,2,9.42
2023-10-14,2023-10-15,0,0,0,0,2,0,0,0,0,1,0,1.0,0.0,2,2,2,2,0.0
2023-10-15,2023-10-26,0,0,0,0,0,2,0,0,0,11,0,10.375,0.5994789404140899,2,2,2,2,6698.14
2023-10-21,2023-10-22,0,0,0,0,2,0,0,0,0,1,1,1.0,0.0,2,2,2,2,0.0
2023-10-22,2023-10-22,0,0,0,2,0,0,0,0,0,0,1,0.0,0.0,2,2,2,2,9.42
2023-10-22,2023-10-27,0,0,2,0,0,0,0,0,0,5,1,5.0,0.0,2,2,2,2,0.0
2023-10-26,2023-10-28,0,0,0,0,0,0,2,0,0,2,0,2.0,0.0,2,2,2,2,0.0
2023-10-27,2023-11-12,0,1,0,0,0,0,0,0,0,16,1,119.89285714285714,100.92866621166311,2,1,2,0,9.7
2023-10-27,2024-02-26,0,1,0,0,0,0,0,0,0,122,1,119.89285714285714,100.92866621166311,2,0,2,0,9.7
2023-10-28,2023-10-28,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,2,2,2,2,15.06
2023-10-28,2023-11-12,0,0,0,0,0,0,0,0,2,15,0,15.9375,3.6309218870694533,2,1,2,0,0.0
2023-11-12,2023-11-12,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,1,1,0,0,15.06
2023-11-12,2023-11-14,0,0,0,0,0,0,2,0,0,2,1,2.0,0.0,1,1,0,0,0.0
2023-11-14,2023-11-24,0,0,0,0,0,2,0,0,0,10,1,10.5,1.0606601717798212,1,1,0,0,6698.14
2023-11-24,2023-11-25,0,0,0,0,2,0,0,0,0,1,1,1.0,0.0,1,1,0,0,0.0
2023-11-25,2023-11-25,0,0,0,2,0,0,0,0,0,0,1,0.0,0.0,1,1,0,0,9.42
2023-11-25,2023-11-30,0,0,2,0,0,0,0,0,0,5,1,5.0,0.0,1,1,0,0,0.0
2023-11-27,2023-11-27,0,4,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,9.7
2023-11-27,2023-12-02,0,0,4,0,0,0,0,0,0,5,0,5.0,0.0,1,0,0,4,0.0
2023-11-30,2023-12-14,0,2,0,0,0,0,0,0,0,14,1,119.89285714285714,100.92866621166311,1,0,0,4,9.7
2023-12-02,2023-12-02,0,0,0,4,0,0,0,0,0,0,0,0.0,0.0,0,0,4,4,9.42
2023-12-02,2023-12-03,0,0,0,0,4,0,0,0,0,1,0,1.0,0.0,0,0,4,4,0.0
2023-12-03,2023-12-13,0,0,0,0,0,4,0,0,0,10,0,10.375,0.5994789404140899,0,0,4,4,6698.14
2023-12-13,2023-12-15,0,0,0,0,0,0,4,0,0,2,0,2.0,0.0,0,0,4,4,0.0
2023-12-15,2023-12-15,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0,0,4,4,15.06
2023-12-15,2023-12-30,0,0,0,0,0,0,0,0,4,15,0,15.9375,3.6309218870694533,0,0,4,4,0.0
2023-12-29,2023-12-29,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,4,4,9.7
2023-12-29,2024-01-03,0,0,2,0,0,0,0,0,0,5,0,5.0,0.0,0,2,4,2,0.0
2023-12-30,2023-12-30,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0,0,4,4,15.06
2023-12-30,2024-01-01,0,0,0,0,0,0,4,0,0,2,1,2.0,0.0,0,2,4,2,0.0
2024-01-01,2024-01-13,0,0,0,0,0,4,0,0,0,12,1,10.5,1.0606601717798212,2,2,2,2,6698.14
2024-01-03,2024-01-03,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0,2,2,2,2,9.42
2024-01-03,2024-01-04,0,0,0,0,2,0,0,0,0,1,0,1.0,0.0,2,2,2,2,0.0
2024-01-04,2024-01-14,0,0,0,0,0,2,0,0,0,10,0,10.375,0.5994789404140899,2,2,2,2,6698.14
2024-01-13,2024-01-14,0,0,0,0,4,0,0,0,0,1,1,1.0,0.0,2,2,2,2,0.0
2024-01-14,2024-01-14,0,0,0,4,0,0,0,0,0,0,1,0.0,0.0,2,2,2,2,9.42
2024-01-14,2024-01-16,0,0,0,0,0,0,2,0,0,2,0,2.0,0.0,2,2,2,2,0.0
2024-01-14,2024-01-19,0,0,4,0,0,0,0,0,0,5,1,5.0,0.0,2,2,2,2,0.0
2024-01-16,2024-01-16,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,2,2,2,2,15.06
2024-01-16,2024-01-31,0,0,0,0,0,0,0,0,2,15,0,15.9375,3.6309218870694533,2,2,2,2,0.0
2024-01-19,2024-02-19,0,2,0,0,0,0,0,0,0,31,1,119.89285714285714,100.92866621166311,2,0,2,0,9.7
2024-01-31,2024-01-31,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,2,2,2,2,15.06
